Gene,Normalised_RF,Tool
group_37529.fa.aln.tree,0.6964285714285714,Roary
group_7634.fa.aln.tree,0.7258064516129032,Roary
group_18544.fa.aln.tree,0.9294117647058824,Roary
group_16941.fa.aln.tree,0.9764705882352941,Roary
group_11184.fa.aln.tree,0.8148148148148148,Roary
group_13551.fa.aln.tree,0.7904761904761904,Roary
group_20944.fa.aln.tree,0.8909090909090909,Roary
group_20587.fa.aln.tree,0.6833333333333333,Roary
group_16668.fa.aln.tree,0.8571428571428571,Roary
group_20537.fa.aln.tree,0.9294117647058824,Roary
group_38171.fa.aln.tree,0.9354838709677419,Roary
group_17262.fa.aln.tree,0.7758620689655172,Roary
group_18395.fa.aln.tree,0.8053097345132744,Roary
group_15695.fa.aln.tree,0.7948717948717948,Roary
group_38316.fa.aln.tree,0.8198198198198198,Roary
group_16470.fa.aln.tree,0.8018018018018018,Roary
group_37502.fa.aln.tree,1.0,Roary
group_13607.fa.aln.tree,0.7913043478260869,Roary
group_17364.fa.aln.tree,0.7959183673469388,Roary
group_16767.fa.aln.tree,0.7876106194690266,Roary
group_18740.fa.aln.tree,0.8317757009345794,Roary
group_18790.fa.aln.tree,0.7913043478260869,Roary
group_15731.fa.aln.tree,0.8771929824561403,Roary
group_12548.fa.aln.tree,0.7739130434782608,Roary
group_8563.fa.aln.tree,0.6935483870967742,Roary
group_17218.fa.aln.tree,0.9029126213592233,Roary
group_15628.fa.aln.tree,0.7288135593220338,Roary
group_18972.fa.aln.tree,0.7636363636363637,Roary
group_12472.fa.aln.tree,0.8214285714285714,Roary
group_15188.fa.aln.tree,0.8793103448275862,Roary
group_7315.fa.aln.tree,0.7586206896551724,Roary
group_20834.fa.aln.tree,0.6923076923076923,Roary
group_20771.fa.aln.tree,0.9120879120879121,Roary
group_18393.fa.aln.tree,0.8285714285714286,Roary
group_18756.fa.aln.tree,1.0,Roary
group_20782.fa.aln.tree,0.7413793103448276,Roary
group_16901.fa.aln.tree,0.847457627118644,Roary
group_15685.fa.aln.tree,0.7017543859649122,Roary
group_15877.fa.aln.tree,0.8230088495575221,Roary
group_17347.fa.aln.tree,0.7407407407407407,Roary
group_12116.fa.aln.tree,0.7739130434782608,Roary
group_15717.fa.aln.tree,0.8,Roary
group_15267.fa.aln.tree,0.9183673469387755,Roary
group_38202.fa.aln.tree,0.7614678899082569,Roary
group_37493.fa.aln.tree,0.9529411764705882,Roary
group_38200.fa.aln.tree,0.8113207547169812,Roary
group_18738.fa.aln.tree,0.7739130434782608,Roary
group_12175.fa.aln.tree,0.8363636363636363,Roary
group_12688.fa.aln.tree,0.7068965517241379,Roary
group_14990.fa.aln.tree,0.8252427184466019,Roary
group_12321.fa.aln.tree,0.794392523364486,Roary
group_17085.fa.aln.tree,0.6666666666666666,Roary
