,First_core_99_0_dna.fasta.aln,First_core_99_100_dna.fasta.aln,First_core_99_101_dna.fasta.aln,First_core_99_102_dna.fasta.aln,First_core_99_103_dna.fasta.aln,First_core_99_104_dna.fasta.aln,First_core_99_106_dna.fasta.aln,First_core_99_107_dna.fasta.aln,First_core_99_108_dna.fasta.aln,First_core_99_109_dna.fasta.aln,First_core_99_110_dna.fasta.aln,First_core_99_111_dna.fasta.aln,First_core_99_112_dna.fasta.aln,First_core_99_113_dna.fasta.aln,First_core_99_114_dna.fasta.aln,First_core_99_115_dna.fasta.aln,First_core_99_116_dna.fasta.aln,First_core_99_117_dna.fasta.aln,First_core_99_118_dna.fasta.aln,First_core_99_119_dna.fasta.aln,First_core_99_120_dna.fasta.aln,First_core_99_121_dna.fasta.aln,First_core_99_122_dna.fasta.aln,First_core_99_123_dna.fasta.aln,First_core_99_124_dna.fasta.aln,First_core_99_125_dna.fasta.aln,First_core_99_126_dna.fasta.aln,First_core_99_127_dna.fasta.aln,First_core_99_128_dna.fasta.aln,First_core_99_129_dna.fasta.aln,First_core_99_130_dna.fasta.aln,First_core_99_131_dna.fasta.aln,First_core_99_132_dna.fasta.aln,First_core_99_133_dna.fasta.aln,First_core_99_134_dna.fasta.aln,First_core_99_135_dna.fasta.aln,First_core_99_136_dna.fasta.aln,First_core_99_137_dna.fasta.aln,First_core_99_139_dna.fasta.aln,First_core_99_140_dna.fasta.aln,First_core_99_141_dna.fasta.aln,First_core_99_142_dna.fasta.aln,First_core_99_143_dna.fasta.aln,First_core_99_144_dna.fasta.aln,First_core_99_145_dna.fasta.aln,First_core_99_146_dna.fasta.aln,First_core_99_147_dna.fasta.aln,First_core_99_149_dna.fasta.aln,First_core_99_150_dna.fasta.aln,First_core_99_152_dna.fasta.aln,First_core_99_153_dna.fasta.aln,First_core_99_154_dna.fasta.aln,First_core_99_155_dna.fasta.aln,First_core_99_156_dna.fasta.aln,First_core_99_157_dna.fasta.aln,First_core_99_159_dna.fasta.aln,First_core_99_160_dna.fasta.aln,First_core_99_161_dna.fasta.aln,First_core_99_162_dna.fasta.aln,First_core_99_163_dna.fasta.aln,First_core_99_164_dna.fasta.aln,First_core_99_165_dna.fasta.aln,First_core_99_166_dna.fasta.aln,First_core_99_167_dna.fasta.aln,First_core_99_168_dna.fasta.aln,First_core_99_169_dna.fasta.aln,First_core_99_170_dna.fasta.aln,First_core_99_171_dna.fasta.aln,First_core_99_172_dna.fasta.aln,First_core_99_173_dna.fasta.aln,First_core_99_174_dna.fasta.aln,First_core_99_175_dna.fasta.aln,First_core_99_176_dna.fasta.aln,First_core_99_178_dna.fasta.aln,First_core_99_179_dna.fasta.aln,First_core_99_180_dna.fasta.aln,First_core_99_182_dna.fasta.aln,First_core_99_183_dna.fasta.aln,First_core_99_184_dna.fasta.aln,First_core_99_185_dna.fasta.aln,First_core_99_186_dna.fasta.aln,First_core_99_187_dna.fasta.aln,First_core_99_188_dna.fasta.aln,First_core_99_189_dna.fasta.aln,First_core_99_190_dna.fasta.aln,First_core_99_191_dna.fasta.aln,First_core_99_192_dna.fasta.aln,First_core_99_193_dna.fasta.aln,First_core_99_194_dna.fasta.aln,First_core_99_195_dna.fasta.aln,First_core_99_196_dna.fasta.aln,First_core_99_198_dna.fasta.aln,First_core_99_199_dna.fasta.aln,First_core_99_19_dna.fasta.aln,First_core_99_200_dna.fasta.aln,First_core_99_201_dna.fasta.aln,First_core_99_202_dna.fasta.aln,First_core_99_203_dna.fasta.aln,First_core_99_204_dna.fasta.aln,First_core_99_205_dna.fasta.aln,First_core_99_206_dna.fasta.aln,First_core_99_207_dna.fasta.aln,First_core_99_209_dna.fasta.aln,First_core_99_210_dna.fasta.aln,First_core_99_211_dna.fasta.aln,First_core_99_212_dna.fasta.aln,First_core_99_213_dna.fasta.aln,First_core_99_214_dna.fasta.aln,First_core_99_215_dna.fasta.aln,First_core_99_216_dna.fasta.aln,First_core_99_217_dna.fasta.aln,First_core_99_219_dna.fasta.aln,First_core_99_220_dna.fasta.aln,First_core_99_221_dna.fasta.aln,First_core_99_222_dna.fasta.aln,First_core_99_223_dna.fasta.aln,First_core_99_224_dna.fasta.aln,First_core_99_226_dna.fasta.aln,First_core_99_227_dna.fasta.aln,First_core_99_228_dna.fasta.aln,First_core_99_230_dna.fasta.aln,First_core_99_232_dna.fasta.aln,First_core_99_233_dna.fasta.aln,First_core_99_234_dna.fasta.aln,First_core_99_235_dna.fasta.aln,First_core_99_236_dna.fasta.aln,First_core_99_237_dna.fasta.aln,First_core_99_238_dna.fasta.aln,First_core_99_239_dna.fasta.aln,First_core_99_23_dna.fasta.aln,First_core_99_240_dna.fasta.aln,First_core_99_241_dna.fasta.aln,First_core_99_242_dna.fasta.aln,First_core_99_243_dna.fasta.aln,First_core_99_244_dna.fasta.aln,First_core_99_245_dna.fasta.aln,First_core_99_246_dna.fasta.aln,First_core_99_247_dna.fasta.aln,First_core_99_248_dna.fasta.aln,First_core_99_249_dna.fasta.aln,First_core_99_250_dna.fasta.aln,First_core_99_251_dna.fasta.aln,First_core_99_253_dna.fasta.aln,First_core_99_254_dna.fasta.aln,First_core_99_255_dna.fasta.aln,First_core_99_256_dna.fasta.aln,First_core_99_257_dna.fasta.aln,First_core_99_258_dna.fasta.aln,First_core_99_259_dna.fasta.aln,First_core_99_260_dna.fasta.aln,First_core_99_261_dna.fasta.aln,First_core_99_262_dna.fasta.aln,First_core_99_263_dna.fasta.aln,First_core_99_264_dna.fasta.aln,First_core_99_265_dna.fasta.aln,First_core_99_266_dna.fasta.aln,First_core_99_267_dna.fasta.aln,First_core_99_268_dna.fasta.aln,First_core_99_269_dna.fasta.aln,First_core_99_270_dna.fasta.aln,First_core_99_271_dna.fasta.aln,First_core_99_272_dna.fasta.aln,First_core_99_273_dna.fasta.aln,First_core_99_274_dna.fasta.aln,First_core_99_275_dna.fasta.aln,First_core_99_276_dna.fasta.aln,First_core_99_277_dna.fasta.aln,First_core_99_278_dna.fasta.aln,First_core_99_279_dna.fasta.aln,First_core_99_280_dna.fasta.aln,First_core_99_281_dna.fasta.aln,First_core_99_282_dna.fasta.aln,First_core_99_283_dna.fasta.aln,First_core_99_284_dna.fasta.aln,First_core_99_285_dna.fasta.aln,First_core_99_286_dna.fasta.aln,First_core_99_287_dna.fasta.aln,First_core_99_288_dna.fasta.aln,First_core_99_289_dna.fasta.aln,First_core_99_290_dna.fasta.aln,First_core_99_291_dna.fasta.aln,First_core_99_292_dna.fasta.aln,First_core_99_293_dna.fasta.aln,First_core_99_294_dna.fasta.aln,First_core_99_295_dna.fasta.aln,First_core_99_296_dna.fasta.aln,First_core_99_297_dna.fasta.aln,First_core_99_298_dna.fasta.aln,First_core_99_299_dna.fasta.aln,First_core_99_300_dna.fasta.aln,First_core_99_301_dna.fasta.aln,First_core_99_302_dna.fasta.aln,First_core_99_303_dna.fasta.aln,First_core_99_304_dna.fasta.aln,First_core_99_305_dna.fasta.aln,First_core_99_306_dna.fasta.aln,First_core_99_307_dna.fasta.aln,First_core_99_308_dna.fasta.aln,First_core_99_309_dna.fasta.aln,First_core_99_310_dna.fasta.aln,First_core_99_311_dna.fasta.aln,First_core_99_312_dna.fasta.aln,First_core_99_313_dna.fasta.aln,First_core_99_314_dna.fasta.aln,First_core_99_315_dna.fasta.aln,First_core_99_316_dna.fasta.aln,First_core_99_318_dna.fasta.aln,First_core_99_319_dna.fasta.aln,First_core_99_320_dna.fasta.aln,First_core_99_321_dna.fasta.aln,First_core_99_322_dna.fasta.aln,First_core_99_323_dna.fasta.aln,First_core_99_324_dna.fasta.aln,First_core_99_325_dna.fasta.aln,First_core_99_326_dna.fasta.aln,First_core_99_327_dna.fasta.aln,First_core_99_328_dna.fasta.aln,First_core_99_329_dna.fasta.aln,First_core_99_330_dna.fasta.aln,First_core_99_331_dna.fasta.aln,First_core_99_332_dna.fasta.aln,First_core_99_333_dna.fasta.aln,First_core_99_334_dna.fasta.aln,First_core_99_335_dna.fasta.aln,First_core_99_336_dna.fasta.aln,First_core_99_337_dna.fasta.aln,First_core_99_339_dna.fasta.aln,First_core_99_340_dna.fasta.aln,First_core_99_341_dna.fasta.aln,First_core_99_342_dna.fasta.aln,First_core_99_343_dna.fasta.aln,First_core_99_344_dna.fasta.aln,First_core_99_345_dna.fasta.aln,First_core_99_346_dna.fasta.aln,First_core_99_347_dna.fasta.aln,First_core_99_348_dna.fasta.aln,First_core_99_349_dna.fasta.aln,First_core_99_350_dna.fasta.aln,First_core_99_351_dna.fasta.aln,First_core_99_352_dna.fasta.aln,First_core_99_353_dna.fasta.aln,First_core_99_354_dna.fasta.aln,First_core_99_355_dna.fasta.aln,First_core_99_356_dna.fasta.aln,First_core_99_357_dna.fasta.aln,First_core_99_358_dna.fasta.aln,First_core_99_360_dna.fasta.aln,First_core_99_361_dna.fasta.aln,First_core_99_362_dna.fasta.aln,First_core_99_363_dna.fasta.aln,First_core_99_364_dna.fasta.aln,First_core_99_365_dna.fasta.aln,First_core_99_366_dna.fasta.aln,First_core_99_367_dna.fasta.aln,First_core_99_368_dna.fasta.aln,First_core_99_369_dna.fasta.aln,First_core_99_370_dna.fasta.aln,First_core_99_371_dna.fasta.aln,First_core_99_372_dna.fasta.aln,First_core_99_373_dna.fasta.aln,First_core_99_375_dna.fasta.aln,First_core_99_376_dna.fasta.aln,First_core_99_377_dna.fasta.aln,First_core_99_378_dna.fasta.aln,First_core_99_379_dna.fasta.aln,First_core_99_380_dna.fasta.aln,First_core_99_381_dna.fasta.aln,First_core_99_382_dna.fasta.aln,First_core_99_383_dna.fasta.aln,First_core_99_384_dna.fasta.aln,First_core_99_385_dna.fasta.aln,First_core_99_386_dna.fasta.aln,First_core_99_387_dna.fasta.aln,First_core_99_388_dna.fasta.aln,First_core_99_389_dna.fasta.aln,First_core_99_390_dna.fasta.aln,First_core_99_391_dna.fasta.aln,First_core_99_392_dna.fasta.aln,First_core_99_393_dna.fasta.aln,First_core_99_394_dna.fasta.aln,First_core_99_395_dna.fasta.aln,First_core_99_396_dna.fasta.aln,First_core_99_397_dna.fasta.aln,First_core_99_398_dna.fasta.aln,First_core_99_399_dna.fasta.aln,First_core_99_401_dna.fasta.aln,First_core_99_402_dna.fasta.aln,First_core_99_403_dna.fasta.aln,First_core_99_404_dna.fasta.aln,First_core_99_405_dna.fasta.aln,First_core_99_406_dna.fasta.aln,First_core_99_407_dna.fasta.aln,First_core_99_408_dna.fasta.aln,First_core_99_409_dna.fasta.aln,First_core_99_410_dna.fasta.aln,First_core_99_411_dna.fasta.aln,First_core_99_412_dna.fasta.aln,First_core_99_413_dna.fasta.aln,First_core_99_414_dna.fasta.aln,First_core_99_415_dna.fasta.aln,First_core_99_416_dna.fasta.aln,First_core_99_417_dna.fasta.aln,First_core_99_418_dna.fasta.aln,First_core_99_419_dna.fasta.aln,First_core_99_420_dna.fasta.aln,First_core_99_421_dna.fasta.aln,First_core_99_422_dna.fasta.aln,First_core_99_423_dna.fasta.aln,First_core_99_424_dna.fasta.aln,First_core_99_425_dna.fasta.aln,First_core_99_426_dna.fasta.aln,First_core_99_427_dna.fasta.aln,First_core_99_428_dna.fasta.aln,First_core_99_429_dna.fasta.aln,First_core_99_430_dna.fasta.aln,First_core_99_431_dna.fasta.aln,First_core_99_432_dna.fasta.aln,First_core_99_433_dna.fasta.aln,First_core_99_434_dna.fasta.aln,First_core_99_435_dna.fasta.aln,First_core_99_436_dna.fasta.aln,First_core_99_437_dna.fasta.aln,First_core_99_438_dna.fasta.aln,First_core_99_439_dna.fasta.aln,First_core_99_440_dna.fasta.aln,First_core_99_441_dna.fasta.aln,First_core_99_442_dna.fasta.aln,First_core_99_443_dna.fasta.aln,First_core_99_444_dna.fasta.aln,First_core_99_445_dna.fasta.aln,First_core_99_446_dna.fasta.aln,First_core_99_447_dna.fasta.aln,First_core_99_448_dna.fasta.aln,First_core_99_449_dna.fasta.aln,First_core_99_450_dna.fasta.aln,First_core_99_451_dna.fasta.aln,First_core_99_452_dna.fasta.aln,First_core_99_453_dna.fasta.aln,First_core_99_454_dna.fasta.aln,First_core_99_455_dna.fasta.aln,First_core_99_456_dna.fasta.aln,First_core_99_457_dna.fasta.aln,First_core_99_458_dna.fasta.aln,First_core_99_459_dna.fasta.aln,First_core_99_460_dna.fasta.aln,First_core_99_78_dna.fasta.aln,First_core_99_81_dna.fasta.aln,First_core_99_82_dna.fasta.aln,First_core_99_83_dna.fasta.aln,First_core_99_85_dna.fasta.aln,First_core_99_88_dna.fasta.aln,First_core_99_90_dna.fasta.aln,First_core_99_91_dna.fasta.aln,First_core_99_92_dna.fasta.aln,First_core_99_93_dna.fasta.aln,First_core_99_96_dna.fasta.aln,First_core_99_98_dna.fasta.aln
First_core_99_0_dna.fasta.aln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
First_core_99_100_dna.fasta.aln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
First_core_99_101_dna.fasta.aln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
First_core_99_102_dna.fasta.aln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
First_core_99_103_dna.fasta.aln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
First_core_99_104_dna.fasta.aln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
First_core_99_106_dna.fasta.aln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
First_core_99_107_dna.fasta.aln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
First_core_99_108_dna.fasta.aln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
First_core_99_109_dna.fasta.aln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
